level,city,town,name,Life expectancy_2010-2015,Annual checkup_2017,Dental visit_2016,Health insurance_2017,Current smoking_2017,Sleep <7 hours_2016,Coronary heart disease_2017,Current asthma_2017,Diabetes_2017,High blood pressure_2017
neighborhood,New Haven,NA,Fair Haven,78.2,0.7,0.54,0.25,0.21,0.43,0.06,0.12,0.13,0.32
neighborhood,New Haven,NA,Fair Haven Heights,75,0.76,0.67,0.17,0.18,0.39,0.09,0.12,0.15,0.4
neighborhood,New Haven,NA,Hill,75.9,0.73,0.53,0.24,0.22,0.44,0.07,0.13,0.15,0.37
neighborhood,New Haven,NA,Newhallville,71.7,0.79,0.57,0.17,0.24,0.48,0.07,0.15,0.17,0.44
neighborhood,New Haven,NA,Prospect Hill,82.3,0.71,0.76,0.1,0.15,0.38,0.04,0.11,0.08,0.26
neighborhood,New Haven,NA,Quinnipiac Meadows,81.6,0.73,0.67,0.16,0.19,0.42,0.05,0.12,0.11,0.32
neighborhood,New Haven,NA,West River,74.6,0.77,0.55,0.2,0.24,0.46,0.08,0.14,0.17,0.43
neighborhood,New Haven,NA,West Rock,78.2,0.7,0.7,0.12,0.16,0.38,0.04,0.13,0.07,0.23
neighborhood,New Haven,NA,Westville,83.9,0.75,0.82,0.07,0.11,0.35,0.05,0.1,0.08,0.3
neighborhood,New Haven,NA,Wooster Square,83.5,0.69,0.66,0.14,0.17,0.39,0.04,0.11,0.09,0.27
town,New Haven,NA,New Haven,78.2,0.72,0.66,0.15,0.18,0.4,0.05,0.12,0.11,0.3
neighborhood,Stamford,NA,Belltown,81.5,0.69,0.78,0.09,0.13,0.34,0.04,0.09,0.07,0.24
neighborhood,Stamford,NA,Cove-East Side,81.4,0.68,0.7,0.16,0.15,0.36,0.05,0.1,0.08,0.26
neighborhood,Stamford,NA,Downtown,81.2,0.67,0.75,0.1,0.11,0.35,0.04,0.09,0.07,0.22
neighborhood,Stamford,NA,Glenbrook,81.2,0.69,0.73,0.13,0.14,0.36,0.05,0.1,0.08,0.27
neighborhood,Stamford,NA,Newfield,81.5,0.72,0.82,0.06,0.1,0.31,0.05,0.09,0.08,0.28
neighborhood,Stamford,NA,North Stamford,86.2,0.73,0.85,0.05,0.09,0.3,0.05,0.08,0.07,0.27
neighborhood,Stamford,NA,Palmers Hill,85.4,0.73,0.84,0.06,0.09,0.3,0.05,0.09,0.07,0.28
neighborhood,Stamford,NA,Ridgeway,84.1,0.69,0.78,0.11,0.12,0.34,0.04,0.09,0.07,0.25
neighborhood,Stamford,NA,Roxbury,85.4,0.73,0.84,0.06,0.09,0.3,0.05,0.09,0.07,0.28
neighborhood,Stamford,NA,Shippan,84.2,0.71,0.84,0.05,0.09,0.3,0.04,0.09,0.07,0.25
neighborhood,Stamford,NA,South End,78.1,0.64,0.63,0.2,0.15,0.38,0.04,0.09,0.08,0.23
neighborhood,Stamford,NA,Springdale,81.8,0.69,0.76,0.1,0.13,0.34,0.05,0.09,0.07,0.25
neighborhood,Stamford,NA,Turn Of River,83.6,0.71,0.82,0.07,0.1,0.32,0.05,0.09,0.07,0.26
neighborhood,Stamford,NA,Waterside,79.1,0.69,0.63,0.17,0.16,0.39,0.05,0.1,0.1,0.28
neighborhood,Stamford,NA,West Side,78.1,0.68,0.61,0.22,0.18,0.4,0.05,0.1,0.11,0.29
neighborhood,Stamford,NA,Westover,85.4,0.73,0.84,0.06,0.09,0.3,0.05,0.09,0.07,0.28
town,Stamford,NA,Stamford,81.9,0.69,0.75,0.12,0.13,0.35,0.05,0.09,0.08,0.26
state,NA,NA,Connecticut,80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
